==90717== NVPROF is profiling process 90717, command: ./bin/spmv -m ./res/barrier2-4.mtx --prof --opt 1 --dd-p 99
==90717== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==90717== Profiling application: ./bin/spmv -m ./res/barrier2-4.mtx --prof --opt 1 --dd-p 99
==90717== Profiling result:
==90717== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM3-32GB (0)"
    Kernel: void kernel_spmv_CSR_vector_Mixed_Entrywise_Split<unsigned int=32>(unsigned int, float const *, float const *, int const *, int const *, double const *, double const *, int const *, int const *, double*)
          1                             inst_per_warp                                            Instructions per warp  1.2402e+03  1.2402e+03  1.2402e+03
          1                         branch_efficiency                                                Branch Efficiency      80.48%      80.48%      80.48%
          1                 warp_execution_efficiency                                        Warp Execution Efficiency      77.78%      77.78%      77.78%
          1         warp_nonpred_execution_efficiency                         Warp Non-Predicated Execution Efficiency      73.97%      73.97%      73.97%
          1                      inst_replay_overhead                                      Instruction Replay Overhead    0.012189    0.012189    0.012189
          1      shared_load_transactions_per_request                      Shared Memory Load Transactions Per Request    1.908048    1.908048    1.908048
          1     shared_store_transactions_per_request                     Shared Memory Store Transactions Per Request    1.797173    1.797173    1.797173
          1       local_load_transactions_per_request                       Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request                      Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                             Global Load Transactions Per Request    4.122515    4.122515    4.122515
          1              gst_transactions_per_request                            Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                                        Shared Store Transactions     1625737     1625737     1625737
          1                  shared_load_transactions                                         Shared Load Transactions     2157544     2157544     2157544
          1                   local_load_transactions                                          Local Load Transactions           0           0           0
          1                  local_store_transactions                                         Local Store Transactions           0           0           0
          1                          gld_transactions                                         Global Load Transactions     4362281     4362281     4362281
          1                          gst_transactions                                        Global Store Transactions      113076      113076      113076
          1                  sysmem_read_transactions                                  System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                 System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                             L2 Read Transactions     2564646     2564646     2564646
          1                     l2_write_transactions                                            L2 Write Transactions      140321      140321      140321
          1                    dram_read_transactions                                  Device Memory Read Transactions     1196259     1196259     1196259
          1                   dram_write_transactions                                 Device Memory Write Transactions       50353       50353       50353
          1                           global_hit_rate                                Global Hit Rate in unified l1/tex      44.82%      44.82%      44.82%
          1                            local_hit_rate                                                   Local Hit Rate       0.00%       0.00%       0.00%
