==86619== NVPROF is profiling process 86619, command: ./bin/spmv -m ./res/shipsec5.mtx --prof --opt 1 --dd-p 99
==86619== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==86619== Profiling application: ./bin/spmv -m ./res/shipsec5.mtx --prof --opt 1 --dd-p 99
==86619== Profiling result:
==86619== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM3-32GB (0)"
    Kernel: void kernel_spmv_CSR_vector_Mixed_Entrywise_Split<unsigned int=32>(unsigned int, float const *, float const *, int const *, int const *, double const *, double const *, int const *, int const *, double*)
          1                             inst_per_warp                                            Instructions per warp  1.2259e+03  1.2259e+03  1.2259e+03
          1                         branch_efficiency                                                Branch Efficiency      80.16%      80.16%      80.16%
          1                 warp_execution_efficiency                                        Warp Execution Efficiency      87.06%      87.06%      87.06%
          1         warp_nonpred_execution_efficiency                         Warp Non-Predicated Execution Efficiency      82.88%      82.88%      82.88%
          1                      inst_replay_overhead                                      Instruction Replay Overhead    0.011205    0.011205    0.011205
          1      shared_load_transactions_per_request                      Shared Memory Load Transactions Per Request    1.917399    1.917399    1.917399
          1     shared_store_transactions_per_request                     Shared Memory Store Transactions Per Request    1.794278    1.794278    1.794278
          1       local_load_transactions_per_request                       Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request                      Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                             Global Load Transactions Per Request    4.381135    4.381135    4.381135
          1              gst_transactions_per_request                            Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                                        Shared Store Transactions     2581751     2581751     2581751
          1                  shared_load_transactions                                         Shared Load Transactions     3448633     3448633     3448633
          1                   local_load_transactions                                          Local Load Transactions           0           0           0
          1                  local_store_transactions                                         Local Store Transactions           0           0           0
          1                          gld_transactions                                         Global Load Transactions     8760403     8760403     8760403
          1                          gst_transactions                                        Global Store Transactions      179860      179860      179860
          1                  sysmem_read_transactions                                  System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                 System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                             L2 Read Transactions     4837527     4837527     4837527
          1                     l2_write_transactions                                            L2 Write Transactions      184922      184922      184922
          1                    dram_read_transactions                                  Device Memory Read Transactions     3170820     3170820     3170820
          1                   dram_write_transactions                                 Device Memory Write Transactions       89181       89181       89181
          1                           global_hit_rate                                Global Hit Rate in unified l1/tex      47.47%      47.47%      47.47%
          1                            local_hit_rate                                                   Local Hit Rate       0.00%       0.00%       0.00%
